,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch)
157,Aroostook,2024-10-08,DAIGLE P,New Canada,BROOK TROUT,500,8
158,Aroostook,2024-10-08,DUREPO L,Limestone,BROOK TROUT,500,13
159,Aroostook,2024-10-08,MOLUNKUS L,Molunkus Twp,L.L. SALMON,300,12
160,Aroostook,2024-10-08,MOLUNKUS L,Molunkus Twp,BROOK TROUT,800,13
161,Aroostook,2024-10-09,GRAND L (EAST),Orient,BROOK TROUT,600,13
162,Aroostook,2024-10-09,GRAND L (EAST),Weston,BROOK TROUT,600,13
163,Aroostook,2024-10-16,ROWE L,T11 R8 WELS,BROOK TROUT,250,13
164,Aroostook,2024-10-16,UMCOLCUS L,T7 R5 WELS,BROOK TROUT,500,13
165,Aroostook,2024-10-23,SCOPAN L,Squapan Twp,SPLAKE,550,13
166,Aroostook,2024-10-23,SCOPAN L,T11 R4 WELS,SPLAKE,550,13
167,Aroostook,2024-10-25,CONROY L,Monticello,SPLAKE,200,13
168,Aroostook,2024-10-25,DREWS (MEDUXNEKEAG) L,Linneus,SPLAKE,500,13
169,Aroostook,2024-10-30,ARNOLD BROOK L,Presque Isle,BROOK TROUT,1000,13
170,Aroostook,2024-11-07,CONROY L,Monticello,BROOK TROUT,50,18
171,Aroostook,2024-11-07,MUD P,Linneus,BROOK TROUT,50,18
172,Aroostook,2024-11-07,SPAULDING L,Oakfield,BROOK TROUT,50,18
173,Aroostook,2024-11-08,CROSS L,T16 R5 WELS,L.L. SALMON,140,17
174,Aroostook,2024-11-08,MADAWASKA L,T16 R4 WELS,BROOK TROUT,200,14
175,Aroostook,2024-11-08,MADAWASKA L,T16 R4 WELS,L.L. SALMON,140,17
176,Aroostook,2024-11-12,MADAWASKA L,T16 R4 WELS,BROOK TROUT,1300,14
177,Cumberland,2024-04-02,ADAMS P,Bridgton,BROOK TROUT,400,10
178,Cumberland,2024-04-03,LILY P,New Gloucester,RAINBOW TROUT,300,10
179,Cumberland,2024-04-10,CHAFFIN P,Windham,BROOK TROUT,200,10
180,Cumberland,2024-04-10,SABBATHDAY L,New Gloucester,BROOK TROUT,500,10
181,Cumberland,2024-04-10,TRICKEY P,Naples,SPLAKE,800,10
182,Cumberland,2024-04-11,BRANDY B,New Gloucester,BROOK TROUT,100,10
183,Cumberland,2024-04-11,COLLYER B,Gray,BROOK TROUT,300,10
184,Cumberland,2024-04-15,PINELAND P,New Gloucester,BROOK TROUT,200,10
185,Cumberland,2024-04-15,STEVENS B,New Gloucester,BROOK TROUT,100,10
186,Cumberland,2024-04-17,BEAVER P,Westbrook,BROOK TROUT,200,10
187,Cumberland,2024-04-17,CHANDLER B,North Yarmouth,BROOK TROUT,100,10
