Date,Water,City,Species,Qty,Size (inch)
4/11/2024,MUD P,LINNEUS,BROOK TROUT,600,10
11/7/2024,MUD P,LINNEUS,BROOK TROUT,50,18
4/11/2024,NICKERSON L,NEW LIMERICK,BROOK TROUT,400,10
9/30/2024,NICKERSON L,NEW LIMERICK,BROWN TROUT,200,12
10/7/2024,NICKERSON L,NEW LIMERICK,BROOK TROUT,800,13
9/30/2024,NUMBER NINE L,T9 R3 WELS,BROOK TROUT,500,7
4/11/2024,PLEASANT L,ISLAND FALLS,BROOK TROUT,1700,10
5/23/2024,PLEASANT L,ISLAND FALLS,L.L. SALMON,650,7
5/13/2024,PORTAGE HILLS COUNTRY CLUB P,PORTAGE LAKE,BROOK TROUT,150,10
9/23/2024,RIDEOUT P,T19 R12 WELS,BROOK TROUT,50,8
4/30/2024,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,300,10
10/7/2024,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,200,13
5/6/2024,ROCKABEMA L,MORO PLT,BROOK TROUT,800,10
5/15/2024,ROUND MOUNTAIN P,T11 R8 WELS,BROOK TROUT,450,10
10/16/2024,ROWE L,T11 R8 WELS,BROOK TROUT,250,13
10/23/2024,SCOPAN L,T11 R4 WELS,SPLAKE,550,13
10/23/2024,SCOPAN L,SQUAPAN TWP,SPLAKE,550,13
9/26/2024,SCOPAN STREAM,MASARDIS,L.L. SALMON,350,12
5/15/2024,SLY BROOK L (THIRD),NEW CANADA,L.L. SALMON,150,7
5/16/2024,SPAULDING L,OAKFIELD,BROOK TROUT,800,9
9/30/2024,SPAULDING L,OAKFIELD,BROOK TROUT,400,13
11/7/2024,SPAULDING L,OAKFIELD,BROOK TROUT,50,18
4/11/2024,STEWART P,HODGDON,BROOK TROUT,250,10
4/11/2024,STILES P,DYER BROOK,BROOK TROUT,250,10
9/30/2024,STILES P,DYER BROOK,BROOK TROUT,150,8
9/19/2024,TIMONEY L,OAKFIELD,BROOK TROUT,3000,8
6/13/2024,TOGUE P,T15 R9 WELS,L.L. SALMON,250,7
9/19/2024,TRAFTON L,LIMESTONE,BROOK TROUT,2500,8
9/23/2024,UGH L,T12 R14 WELS,BROOK TROUT,1000,8
10/16/2024,UMCOLCUS L,T7 R5 WELS,BROOK TROUT,500,13
4/2/2024,ADAMS P,BRIDGTON,BROOK TROUT,400,10
5/7/2024,ALDEN'S P,GORHAM,BROOK TROUT,100,10
5/19/2024,ALDEN'S P,GORHAM,BROOK TROUT,100,10
5/29/2024,BARKER P,SEBAGO,BROWN TROUT,150,9
11/8/2024,BARKER P,SEBAGO,BROWN TROUT,75,12
4/17/2024,BEAVER P,WESTBROOK,BROOK TROUT,200,10
4/11/2024,BRANDY B,NEW GLOUCESTER,BROOK TROUT,100,10
4/10/2024,CHAFFIN P,WINDHAM,BROOK TROUT,200,10
10/16/2024,CHAFFIN P,WINDHAM,BROOK TROUT,100,12
10/16/2024,CHAFFIN P,WINDHAM,BROOK TROUT,500,8
11/15/2024,CHAFFIN P,WINDHAM,BROOK TROUT,15,19
11/19/2024,CHAFFIN P,WINDHAM,BROOK TROUT,400,8
4/17/2024,CHANDLER B,NORTH YARMOUTH,BROOK TROUT,100,10
4/17/2024,CHANDLER B,POWNAL,BROOK TROUT,400,10
5/1/2024,CHANDLER B,POWNAL,BROWN TROUT,300,9
5/1/2024,CHANDLER B,NORTH YARMOUTH,BROWN TROUT,150,9
4/17/2024,CHANDLER B (EAST BRANCH),POWNAL,BROOK TROUT,500,10
11/22/2024,COFFEE P,CASCO,BROOK TROUT,300,12
5/16/2024,COFFIN P,BRUNSWICK,BROOK TROUT,200,10
6/6/2024,COFFIN P,BRUNSWICK,BROOK TROUT,200,10
5/16/2024,COLD RAIN P,NAPLES,BROOK TROUT,300,10
10/10/2024,COLD RAIN P,NAPLES,BROOK TROUT,500,8
10/10/2024,COLD RAIN P,NAPLES,BROOK TROUT,100,12
4/11/2024,COLLYER B,GRAY,BROOK TROUT,300,10
4/30/2024,COLLYER B,GRAY,BROOK TROUT,900,10
5/5/2024,COLLYER B,GRAY,BROWN TROUT,800,9
10/25/2024,CRESCENT L,RAYMOND,L.L. SALMON,200,12
5/30/2024,CRYSTAL (ANONYMOUS) P,HARRISON,L.L. SALMON,75,8
10/8/2024,CRYSTAL (ANONYMOUS) P,HARRISON,BROOK TROUT,250,12
10/3/2024,CRYSTAL L (DRY P),GRAY,RAINBOW TROUT,250,14
10/7/2024,CRYSTAL L (DRY P),GRAY,BROOK TROUT,285,12
10/21/2024,CRYSTAL L (DRY P),GRAY,BROWN TROUT,250,12
11/15/2024,CRYSTAL L (DRY P),GRAY,BROOK TROUT,15,19
11/27/2024,CRYSTAL L (DRY P),GRAY,RAINBOW TROUT,25,20
5/2/2024,HIGHLAND L,BRIDGTON,BROWN TROUT,600,9
11/1/2024,HIGHLAND L,BRIDGTON,BROWN TROUT,150,12
10/17/2024,HINKLEY P (LOWER),SOUTH PORTLAND,BROOK TROUT,200,8
10/17/2024,HINKLEY P (LOWER),SOUTH PORTLAND,BROOK TROUT,50,12
11/19/2024,HINKLEY P (LOWER),SOUTH PORTLAND,BROOK TROUT,400,8
10/17/2024,HINKLEY P (UPPER),SOUTH PORTLAND,BROOK TROUT,200,8
10/17/2024,HINKLEY P (UPPER),SOUTH PORTLAND,BROOK TROUT,50,12
11/19/2024,HINKLEY P (UPPER),SOUTH PORTLAND,BROOK TROUT,400,8
4/24/2024,ISLAND P,HARRISON,BROOK TROUT,300,9
4/24/2024,JORDAN R,RAYMOND,BROOK TROUT,300,9
5/20/2024,JORDAN R,RAYMOND,BROOK TROUT,300,10
4/3/2024,LILY P,NEW GLOUCESTER,RAINBOW TROUT,300,10
4/22/2024,LITTLE R,GORHAM,BROOK TROUT,550,10
5/7/2024,LITTLE R,GORHAM,BROOK TROUT,550,10
5/13/2024,LITTLE R,GORHAM,BROWN TROUT,200,9
5/14/2024,LITTLE R,GORHAM,BROWN TROUT,800,9
4/21/2024,LITTLE R (NORTH BRANCH),GORHAM,BROOK TROUT,100,10
5/7/2024,LITTLE R (NORTH BRANCH),GORHAM,BROOK TROUT,100,10
5/14/2024,LITTLE R (NORTH BRANCH),GORHAM,BROWN TROUT,300,9
10/22/2024,LONG L,HARRISON,BROWN TROUT,1500,12
10/25/2024,LONG L,HARRISON,L.L. SALMON,500,12
10/25/2024,LONG L,NAPLES,L.L. SALMON,500,12
10/25/2024,LONG L,BRIDGTON,L.L. SALMON,500,12
12/3/2024,LONG L,HARRISON,BROWN TROUT,95,18
4/17/2024,MILL B,WESTBROOK,BROOK TROUT,150,10
5/6/2024,MILL B,WESTBROOK,BROOK TROUT,150,10
5/14/2024,MILL B,WESTBROOK,BROWN TROUT,250,9
6/4/2024,MOOSE P,BRIDGTON,L.L. SALMON,650,8
4/25/2024,MUDDY R,NAPLES,BROOK TROUT,150,9
5/15/2024,MUDDY R,NAPLES,BROOK TROUT,300,10
6/4/2024,MUDDY R,NAPLES,BROOK TROUT,300,10
5/14/2024,NONESUCH R,SCARBOROUGH,BROWN TROUT,450,9
4/25/2024,NORTHWEST R,SEBAGO,BROOK TROUT,100,9
5/15/2024,NORTHWEST R,SEBAGO,BROOK TROUT,100,10
5/22/2024,NUBBLE P,RAYMOND,BROOK TROUT,100,10
10/11/2024,NUBBLE P,RAYMOND,BROOK TROUT,25,12
4/23/2024,OTTER P #2,STANDISH,BROOK TROUT,200,10
10/15/2024,OTTER P #2,STANDISH,BROOK TROUT,600,8
10/15/2024,OTTER P #2,STANDISH,BROOK TROUT,125,12
10/31/2024,OTTER P #2,STANDISH,BROOK TROUT,15,17
11/19/2024,OTTER P #2,STANDISH,BROOK TROUT,400,8
4/23/2024,OTTER P #4,STANDISH,BROOK TROUT,100,10
10/15/2024,OTTER P #4,STANDISH,BROOK TROUT,300,8
10/15/2024,OTTER P #4,STANDISH,BROOK TROUT,75,12
10/31/2024,OTTER P #4,STANDISH,BROOK TROUT,10,17
11/19/2024,OTTER P #4,STANDISH,BROOK TROUT,400,8
10/25/2024,PANTHER P,RAYMOND,L.L. SALMON,450,12
10/11/2024,PARKER P,CASCO,BROOK TROUT,200,12
5/30/2024,PEABODY P,SEBAGO,L.L. SALMON,350,8
10/16/2024,PETTINGILL P,WINDHAM,BROOK TROUT,300,12
10/16/2024,PETTINGILL P,WINDHAM,BROWN TROUT,80,12
12/18/2024,PETTINGILL P,WINDHAM,BROOK TROUT,100,12
4/15/2024,PINELAND P,NEW GLOUCESTER,BROOK TROUT,200,10
5/24/2024,PINELAND P,NEW GLOUCESTER,BROOK TROUT,150,10
4/17/2024,PISCATAQUA R,CUMBERLAND,BROOK TROUT,150,10
4/17/2024,PISCATAQUA R,FALMOUTH,BROOK TROUT,150,10
5/14/2024,PISCATAQUA R,CUMBERLAND,BROWN TROUT,250,9
5/14/2024,PISCATAQUA R,FALMOUTH,BROWN TROUT,900,9
4/22/2024,PLEASANT R,WINDHAM,BROOK TROUT,500,10
5/1/2024,PLEASANT R,WINDHAM,BROWN TROUT,1450,9
5/6/2024,PLEASANT R,WINDHAM,BROOK TROUT,500,10
4/22/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,600,10
5/2/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,400,10
5/13/2024,PRESUMPSCOT R,WINDHAM,BROWN TROUT,900,9
5/14/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,400,10
5/14/2024,PRESUMPSCOT R,WESTBROOK,BROWN TROUT,400,9
5/14/2024,PRESUMPSCOT R,WINDHAM,BROWN TROUT,400,9
5/24/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,300,10
5/31/2024,PRESUMPSCOT R,WINDHAM,BROWN TROUT,550,9
